id,Unknown,Straight_and_Level,Straight_and_Grade,Straight_at_Hill_Crest,Curve_and_Level,Curve_and_Grade,Curve_at_Hill_Crest
Schuyler Falls,5,55,9,4,6,5,1
Scarsdale,31,115,45,8,18,24,3
Sherburne,8,44,19,1,2,11,3
Northport,10,48,34,1,2,7,1
Genesee,2,11,5,,3,5,
Floyd,,55,14,5,9,4,
Minisink,7,27,14,1,4,14,1
Fenner,2,23,10,2,6,8,2
Broadalbin,3,31,21,5,16,8,
South Nyack,,73,35,3,4,3,1
Richford,1,19,7,,8,,
Sparta,3,34,17,1,3,8,
Hornby,2,11,6,4,1,7,
Wappinger,9,267,58,9,45,30,3
Union Vale,2,28,12,2,13,16,3
Lewisboro,12,111,20,3,17,24,3
Le Ray,3,115,16,2,11,6,2
East Hills,6,202,23,2,17,8,2
Danby,4,45,17,2,6,17,1
Boston,8,53,32,5,10,11,2
Northhaven,,13,,,1,,
Conklin,7,51,13,1,4,9,1
Sag Harbor,2,61,8,1,3,2,
Somers,29,158,83,10,45,34,2
Lima,3,42,16,8,2,5,1
Walden,4,38,23,1,5,5,
Hamlin,3,52,1,1,7,,
South Glens Falls,3,59,17,2,3,,
Fultonville,,20,2,1,4,3,
Waterford,3,76,9,,11,5,1
Junius,,50,4,2,3,3,
Afton,2,28,8,1,6,14,
Brookville,2,73,6,1,15,1,1
Blooming Grove,10,90,76,9,36,43,4
West Monroe,2,28,13,2,7,4,1
North Norwich,1,25,18,1,6,6,2
Royalton,4,92,12,,26,4,2
Dryden,13,213,70,16,18,27,4
Hancock,10,39,21,5,38,59,5
Darien,4,80,50,4,6,4,
Westerlo,12,35,19,1,6,6,1
Norfolk,1,57,21,10,13,4,2
Hoosick,7,41,25,1,15,32,2
Rodman,5,19,7,,2,5,
Ashland,3,19,11,,3,2,
Roslyn,8,74,23,6,10,19,
Morris,5,12,16,1,2,8,
Whitehall,3,25,19,4,3,13,3
Port Washington North,4,19,,,7,2,1
Leon,1,5,1,,2,1,
Duanesburg,7,83,53,4,13,16,2
Livingston,5,40,12,1,6,6,3
Western,3,29,7,,16,9,
Dover,7,64,17,1,14,23,2
Fort Ann,3,41,28,3,8,19,4
Granville,7,43,17,2,9,17,6
Willing,2,9,5,,4,1,
Cuyler,2,11,4,,,,
Concord,8,50,22,2,12,14,1
Rome,36,419,33,5,37,30,3
Stuyvesant,1,16,3,,10,4,
Westmoreland,10,124,32,2,8,9,1
Bangor,3,28,10,1,3,,
Bennington,1,31,28,3,3,3,1
Port Jervis,6,171,10,2,5,3,1
Scottsville,5,8,,,1,2,
Canton,11,123,53,3,8,19,3
Minoa,1,11,1,,,,
Muttontown,3,28,8,6,3,6,1
Long Lake,6,15,9,,9,12,
Wesley Hills,,32,14,1,5,5,
Van Etten,3,18,9,,2,4,
Gloversville,20,100,32,4,6,1,
Adams,4,75,23,5,7,3,1
Barton,3,32,11,,7,10,1
Lyons Falls,,5,,1,,2,
St. Armand,1,18,3,,6,2,
Hillburn,1,21,5,2,5,8,2
Virgil,2,29,32,2,3,24,1
Carthage,2,29,4,3,1,,
,1,64,30,4,4,7,
Fallsburgh,4,83,55,5,15,37,3
Hamilton,9,60,17,1,6,10,
Bethel,3,41,19,2,10,13,1
Sanford,4,26,18,1,17,16,1
Montgomery,16,246,55,3,44,23,1
Saranac Lake,5,51,15,6,2,3,1
Watkins Glen,6,49,3,2,,4,
Springwater,2,18,11,3,2,14,3
Crown Point,6,27,9,,9,9,
Little Falls,5,55,34,2,5,12,1
Guilford,3,29,17,2,4,4,
Scipio,3,28,14,1,4,6,
Lindley,2,22,6,,5,7,2
Rye Brooke,8,75,22,2,10,5,
Jackson,2,20,8,1,4,8,1
Angelica,3,22,7,1,1,2,1
Peru,2,62,25,3,14,2,1
Lincoln,1,10,14,,7,15,
Beacon,6,116,34,1,14,4,1
Great Neck Plaza,2,137,9,2,1,1,
Poestenkill,4,21,19,1,6,22,1
Jerusalem,,29,33,5,9,11,1
Barker,,45,32,3,4,15,
Fredonia,12,63,12,,4,2,2
Black Brook,3,22,4,,4,8,2
Preble,3,32,6,,7,2,
Wethersfield,1,21,16,3,1,3,
Brant,3,44,5,1,2,,1
Pawling,8,65,26,1,15,21,3
Pierrepont,5,16,18,,7,7,2
Fayette,6,50,5,4,5,3,1
Hammond,4,16,2,,4,2,
Livonia,10,111,47,4,9,9,2
Meredith,,13,9,3,11,16,
New Scotland,3,57,25,10,14,28,2
Caledonia,1,53,10,2,4,2,1
Minden,3,28,16,3,7,6,
Ghent,5,53,16,,9,16,
Amboy,1,11,8,2,3,2,1
Greenwich,7,38,13,3,13,9,2
Turin,3,30,4,2,2,1,
Cayuta,2,17,3,,2,4,1
Forestport,4,28,6,,10,5,
Harmony,1,7,9,,3,2,
Hornell,16,65,6,5,3,1,
Churchville,4,7,1,1,2,,
Fairport,10,33,14,3,1,2,
Poland,1,31,16,2,8,8,
Beekmantown,2,66,19,,10,5,1
Scriba,2,50,12,6,9,2,
Varick,1,21,4,1,3,1,
Bergen,1,56,15,,3,3,
Exeter,2,15,12,2,5,8,1
Lyonsdale,1,3,1,,1,9,
Greenport,7,117,15,1,4,4,2
Otego,6,28,13,1,16,7,
Milford,3,52,20,3,10,11,3
North Syracuse,12,118,19,,15,9,1
Ogdensburg,11,131,9,2,1,1,
Lee,3,37,31,4,5,11,
Carlisle,4,14,8,1,3,1,
Burlington,7,6,8,,2,11,
Lisbon,8,88,17,5,5,10,
Marbletown,9,88,17,2,19,30,1
Hornellsville,5,88,19,2,11,14,
Castile,6,39,10,1,3,2,
Erwin,5,87,8,3,17,15,
Conewango,1,3,1,2,1,2,
Athens,3,61,15,4,9,7,1
Menands,4,111,26,1,10,10,
Dix,1,21,9,1,2,6,1
Dunkirk,12,183,17,2,16,5,
Washingtonville,5,63,10,2,7,4,
Shelby,5,52,8,1,8,3,1
Worcester,1,31,7,,14,6,
Edwards,2,7,1,,3,1,1
Fremont,3,41,14,2,9,13,1
Tioga,3,33,6,1,5,8,2
Oakfield,4,40,14,1,3,3,
Catt.,3,32,5,,5,10,2
St. Regis,,27,3,1,10,1,1
Clifton,1,9,2,,1,3,
Scio,3,18,6,,4,8,1
